-199 0 -1950 0 0 0 15 0 0 0 0 0 
-197.489 -6.64741e-05 -1949.96 0.000123252 0.00558255 0.000170135 15.2237 -0.00377851 0.829995 0.00219544 0.0843337 0.00331993 
-195.954 -0.000243398 -1949.86 0.000419696 0.012921 0.000649154 15.4632 -0.0116313 1.33053 0.00359627 0.049662 0.00612681 
-194.392 -0.000467251 -1949.74 0.00085586 0.0140954 0.00137586 15.7284 -0.022519 1.54371 0.00492794 -0.0285375 0.00827479 
-192.804 -0.000641433 -1949.6 0.00142723 0.00739313 0.00227043 16.0157 -0.0352693 1.56581 0.00630027 -0.102207 0.00963517 
-191.187 -0.000650101 -1949.45 0.002126 -0.00545137 0.00324379 16.3165 -0.0485745 1.49476 0.00763263 -0.149591 0.0101503 
-189.542 -0.0003709 -1949.28 0.00293694 -0.021546 0.00420971 16.6253 -0.0610863 1.40275 0.00880731 -0.167799 0.00985262 
-187.868 0.000317535 -1949.1 0.00383971 -0.0382762 0.00509445 16.9405 -0.0715505 1.32938 0.00972557 -0.163868 0.00886433 
-186.166 0.00153287 -1948.89 0.00481063 -0.0539147 0.00584335 17.2622 -0.0789568 1.28731 0.0103246 -0.147531 0.00738416 
-184.446 0.00331978 -1948.65 0.00385094 -0.0673845 0.00627205 17.3543 -0.0826156 1.28282 -0.0216209 -0.122751 0.00302066 
-182.72 0.00559093 -1948.4 0.00120394 -0.0787103 0.006419 17.4563 -0.0848687 1.30143 -0.0293805 -0.105064 0.000648208 
-180.986 0.0081723 -1948.12 -0.00185745 -0.0886385 0.00638979 17.5683 -0.0868982 1.32334 -0.0314984 -0.0945247 -0.00125215 
-179.243 0.0108359 -1947.82 -0.00503536 -0.0977745 0.00620528 17.6899 -0.0889594 1.33937 -0.0323145 -0.0887374 -0.00303932 
-177.491 0.01333 -1947.51 -0.00825961 -0.106459 0.00586907 17.8201 -0.0910719 1.34777 -0.0328391 -0.0850658 -0.00479954 
-175.728 0.0153895 -1947.18 -0.011513 -0.114803 0.00538075 17.9581 -0.0931992 1.35044 -0.0333074 -0.0816455 -0.00655346 
-173.954 0.01674 -1946.83 -0.0147908 -0.122779 0.00473801 18.1031 -0.0952985 1.35015 -0.0337749 -0.0775568 -0.00830427 
-172.166 0.0171832 -1946.47 -0.0152034 -0.130932 0.00397738 18.2814 -0.0920632 1.33803 0.0121372 -0.0840651 -0.0101467 
-170.37 0.0166396 -1946.09 -0.0154531 -0.139377 0.0027654 18.3375 -0.0808094 1.32328 -0.0143056 -0.0838115 -0.0157238 
-168.571 0.0150079 -1945.69 -0.0170714 -0.14765 0.00115812 18.3992 -0.0656196 1.31465 -0.0213504 -0.0808108 -0.018439 
