-199 0 -20 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0
-194.542 -0.00036932 -19.7599 -0.006066 0.0147833 -0.000381007 14.7368 -0.00795921 1.40413 -0.025122 -0.0333171 -0.00141417 0.3 0.171939 0.289526 0.0724352 -0.248214 0.3
-191.598 -0.00274537 -19.4984 -0.00975125 -0.00627099 9.57695e-07 14.6932 -0.032486 1.35375 -0.0149899 -0.159611 0.00251023 0.5 0.244499 0.183414 -0.217537 -0.408634 0.2
-178.407 -0.0332059 -17.2167 0.0075451 -0.169986 -0.00114998 15.1966 -0.0039753 1.16458 0.0187787 -0.161882 -0.00311146 1.4 0.333909 -0.21248 -0.265697 -0.195462 0.9
-170.846 -0.0397732 -15.0378 0.0137773 -0.238965 -0.00350069 16.2173 0.0750164 1.15366 0.00886552 -0.113519 0.00212625 1.9 0.268254 -0.144552 0.116721 -0.600683 0.5
-159.606 -0.0153282 -11.1528 0.00971856 -0.273037 0.00399902 17.6499 0.0133715 1.24787 -0.000420445 -0.0167245 0.0125845 2.6 -0.184459 0.0159269 0.158284 -0.598979 0.7
-141.719 0.0700772 -5.26433 -0.0229383 -0.217918 0.0061005 23.8228 -0.0954351 1.29099 -0.0451261 0.155629 -0.0177417 3.5 0.0729469 0.352878 -0.133308 0.510015 0.9
-118.381 -0.0738283 -0.943474 -0.0515966 -0.0330905 -0.0205367 23.3478 -0.0290637 1.398 -0.0267379 0.173367 -0.0141073 4.5 -0.1846 0.193968 0.219877 -0.286289 1
-96.2182 -0.778597 -0.199559 -0.068729 0.0424574 -0.0375946 19.9309 -0.136887 1.27891 0.0105254 0.101263 -0.0359041 5.5 0.214342 0.24144 -0.166519 -0.33168 1
-79.3993 -1.41119 -0.199559 -0.0592 0.0424574 -0.0375946 13.8094 -0.136887 1.27891 0.0113794 0.101263 -0.0359041 6.5 0.328799 -0.0426501 0.0505242 -0.468337 1
-75.5311 -1.55669 -0.199559 -0.0563617 0.0424574 -0.0375946 12.0238 -0.136887 1.27891 0.0112065 0.101263 -0.0359041 6.8 -0.236246 -0.218295 -0.0321942 -0.399596 0.3
-67.8035 -1.84734 -0.199559 -0.0488034 0.0424574 -0.0375946 7.3436 -0.136887 1.27891 0.0113034 0.101263 -0.0359041 7.6 -0.291823 0.38183 -0.0823316 0.698112 0.8
-67.0992 -1.87383 -0.199559 -0.0478478 0.0424574 -0.0375946 6.7652 -0.136887 1.27891 0.0112816 0.101263 -0.0359041 7.7 0.08416 0.0646591 -0.168219 -0.615511 0.1
-66.4526 -1.89815 -0.199559 -0.0468827 0.0424574 -0.0375946 6.18797 -0.136887 1.27891 0.0114576 0.101263 -0.0359041 7.8 0.00968058 -0.0270436 0.0905879 -0.648499 0.1
-65.332 -1.9403 -0.199559 -0.0448973 0.0424574 -0.0375946 5.03679 -0.136887 1.27891 0.0117774 0.101263 -0.0359041 8 -0.191325 -0.354813 0.288163 0.448536 0.2
